   ,Name                   ,Occupation                                        ,Address                                           ,Assignment                                                                                                                                        ,Party      ,Phone Number ,District      ,Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Email
 0 ,Judy Amabile           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Appropriations; Legislative Council; Judiciary                                                                          ,Democrat   ,303-866-2578 ,['49']        ,"['Boulder, Gilpin, Clear Creek, Larimer']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,judy.amabile.house@coleg.gov
 1 ,Ryan Armagost          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Legislative Council; Judiciary                                                                                          ,Republican ,303-866-2906 ,['64']        ,"['Larimer, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,ryan.armagost.house@coleg.gov
 2 ,Jennifer Bacon         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Judiciary; Education                                                                                                                              ,Democrat   ,303-866-2909 ,['7']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,jennifer.bacon.house@coleg.gov
 3 ,Mark Baisley           ,Aerospace Engineer                                ,"200 E ColfaxRMDenver, CO 80203United States"     ,"Business, Labor, & Technology; Joint Technology Committee; Education; State, Veterans, & Military Affairs"                                       ,Republican ,303-866-4877 ,['4']         ,"['Chaffee, Douglas, Jefferson, Park, Custer, Fremont, Lake, Teller']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,mark.baisley@senate.co.com
 4 ,Shannon Bird           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Appropriations; Joint Budget Committee                                                                                                            ,Democrat   ,303-866-2843 ,['29']        ,"['Adams, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,shannon.bird.house@coleg.gov
 5 ,Rod Bockenfeld         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,                                                                                                                                                  ,Republican ,303-866-2912 ,['HB24-1144'] ,"['Concerning the creation of an income tax credit for sellers of residential real property that buy down the mortgage interest rate of the buyer of the property., 2024 Regular Session, Bill, Fiscal Policy & Taxes, HB24-1109, Concerning the detention of a person arrested for committing a criminal offense while the person is on parole., 2024 Regular Session, Bill, Crimes, Corrections, & Enforcement, HB24-1026, Concerning a requirement that voters reauthorize a local government to retain revenue in excess of the limitations imposed by section 20 of article X of the state constitution., 2024 Regular Session, Bill, Fiscal Policy & Taxes']" ,rod.bockenfeld.house@coleg.gov
 6 ,Andrew Boesenecker     ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Legislative Audit Committee; State, Civic, Military, & Veterans Affairs; Appropriations; Transportation, Housing & Local Government"             ,Democrat   ,303-866-2917 ,['53']        ,['Larimer']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,andrew.boesenecker.house@coleg.gov
 7 ,Scott Bottoms          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Appropriations; State, Civic, Military, & Veterans Affairs; Energy & Environment"                                                                ,Republican ,303-866-5525 ,['15']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,scott.bottoms.house@coleg.gov
 8 ,Mary Bradfield         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Education; Health & Human Services                                                                                                                ,Republican ,303-866-2946 ,['21']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,mary.bradfield.house@coleg.gov
 9 ,Brandi Bradley         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Health & Human Services; Statutory Revision Committee; State, Civic, Military, & Veterans Affairs"                                               ,Republican ,303-866-2935 ,['39']        ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,brandi.bradley.house@coleg.gov
